query,fdcId,description,dataType,calories,protein,fat,carbohydrates,source_label,query_used,match_score
hamburger,2065496,HAMBURGER,Branded,256.0,9.3,4.65,46.5,hamburger,hamburger,100.0
hot and sour soup,2707136,"Soup, hot and sour",Survey (FNDDS),39.0,2.58,1.21,4.35,hot_and_sour_soup,hot and sour soup,100.0
hot dog,2089505,HOT DOG,Branded,211.0,19.3,14.0,1.75,hot_dog,hot dog,100.0
huevos rancheros,2707191,Huevos rancheros,Survey (FNDDS),121.0,6.68,6.65,8.85,huevos_rancheros,huevos rancheros,100.0
hummus,2422987,HUMMUS,Branded,250.0,10.7,12.5,25.0,hummus,hummus,100.0
ice cream,2100807,ICE CREAM,Branded,200.0,3.08,10.8,24.6,ice_cream,ice cream,100.0
lasagna,2586090,LASAGNA,Branded,101.0,5.53,4.15,10.1,lasagna,lasagna,100.0
lobster bisque,2192146,LOBSTER BISQUE,Branded,148.0,4.19,11.4,6.83,lobster_bisque,lobster bisque,100.0
lobster roll sandwich,2628946,LOBSTER EGG ROLL,Branded,174.0,6.7,4.37,28.1,lobster_roll_sandwich,lobster roll sandwich,85.71428571428572
macaroni and cheese,2435508,MACARONI AND CHEESE,Branded,110.0,3.53,2.35,18.0,macaroni_and_cheese,macaroni and cheese,100.0
macarons,577342,MACARONS,Branded,467.0,10.0,23.3,53.3,macarons,macarons,100.0
miso soup,2147271,MISO SOUP,Branded,26.0,1.92,0.8,2.08,miso_soup,miso soup,100.0
mussels,2706350,Mussels,Survey (FNDDS),109.0,15.06,2.84,4.67,mussels,mussels,100.0
nachos,2708576,"Nachos, NFS",Survey (FNDDS),265.0,7.6,15.85,23.85,nachos,nachos,75.0
omelette,2707290,"Egg white, omelet, scrambled, or fried, with cheese",Survey (FNDDS),132.0,11.27,8.51,2.56,omelette,fluffy egg omelet with cheese,63.1578947368421
onion rings,2072639,ONION RINGS,Branded,235.0,2.35,11.8,28.2,onion_rings,onion rings,100.0
oysters,2706351,"Oysters, raw",Survey (FNDDS),51.0,5.71,1.71,2.72,oysters,fresh raw oysters shellfish,100.0
pad thai,2630139,PAD THAI,Branded,155.0,4.0,4.0,26.0,pad_thai,pad thai,100.0
paella,2036540,PAELLA,Branded,422.0,13.3,3.33,82.2,paella,paella,100.0
pancakes,1912627,PANCAKES,Branded,274.0,6.45,2.42,53.2,pancakes,pancakes,100.0
panna cotta,2710209,Creamy Italian dressing,Survey (FNDDS),268.0,0.55,24.63,11.19,panna_cotta,italian creamy milk dessert,76.0
peking duck,2706141,"Duck, Peking",Survey (FNDDS),154.0,5.32,11.76,6.47,peking_duck,peking duck,100.0
pho,2009039,"ASSI, VIETNAMESE NOODLE SOUP",Branded,185.0,5.0,5.0,30.0,pho,beef noodle soup vietnamese,85.18518518518519
pizza,482194,PIZZA,Branded,250.0,10.7,10.0,27.9,pizza,pizza,100.0
pork chop,2705872,"Pork, chop, stuffed",Survey (FNDDS),190.0,18.37,9.04,7.82,pork_chop,pork chop,69.23076923076923
poutine,2631798,POUTINE POPPERS,Branded,288.0,11.2,18.8,20.0,poutine,poutine,71.42857142857143
prime rib,1648100,"SLOW ROASTED BEEF, ROAST BEEF",Branded,121.0,17.2,4.31,1.72,prime_rib,slow roasted beef rib cut,75.47169811320755
pulled pork sandwich,1922774,"PULLED PORK SANDWICH, MILD BBQ",Branded,239.0,10.3,7.07,31.5,pulled_pork_sandwich,pulled pork sandwich,81.63265306122449
ramen,1919078,RAMEN,Branded,327.0,12.7,2.73,63.6,ramen,ramen,100.0
ravioli,457410,RAVIOLI,Branded,213.0,12.1,7.09,23.4,ravioli,ravioli,100.0
red velvet cake,2151914,RED VELVET CAKE,Branded,435.0,3.26,17.4,67.4,red_velvet_cake,red velvet cake,100.0
risotto,777970,RISOTTO,Branded,157.0,12.9,1.43,109.0,risotto,risotto,100.0
samosa,2708730,Samosa,Survey (FNDDS),310.0,5.14,17.47,33.16,samosa,samosa,100.0
sashimi,2196025,SASHIMI,Branded,102.0,19.7,0.34,4.08,sashimi,sashimi,100.0
scallops,2384290,SCALLOPS,Branded,89.0,15.2,0.89,2.68,scallops,scallops,100.0
seaweed salad,1780827,SEAWEED SALAD,Branded,70.0,1.0,2.5,11.0,seaweed_salad,seaweed salad,100.0
shrimp and grits,2509825,SHRIMP AND GRITS,Branded,126.0,8.38,7.33,7.85,shrimp_and_grits,shrimp and grits,100.0
spaghetti bolognese,2168887,SPAGHETTI WITH MEAT SAUCE,Branded,108.0,2.08,6.25,10.0,spaghetti_bolognese,spaghetti with meat sauce,100.0
spaghetti carbonara,356547,CREAMY CARBONARA SPAGHETTI,Branded,400.0,18.0,10.0,58.0,spaghetti_carbonara,spaghetti carbonara,84.44444444444444
spring rolls,2192151,"FRIED VEGETABLE SPRING ROLL, FRIED VEGETABLE",Branded,180.0,3.66,4.88,30.5,spring_rolls,crispy fried vegetable rolls,67.6056338028169
steak,2157166,STEAK,Branded,556.0,0.0,0.0,111.0,steak,steak,100.0
strawberry shortcake,957717,STRAWBERRY SHORTCAKE,Branded,274.0,2.96,13.3,31.1,strawberry_shortcake,strawberry shortcake,100.0
sushi,2708962,"Sushi roll, eel",Survey (FNDDS),116.0,5.95,2.98,15.3,sushi,sushi rolls,80.0
tacos,2710134,"Toddler meal, meat and vegetables",Survey (FNDDS),77.0,3.49,3.34,8.33,tacos,mexican tortilla with meat and vegetables,71.23287671232876
takoyaki,168019,Octopus (Alaska Native),SR Legacy,236.0,12.3,0.8,0.0,takoyaki,japanese octopus dough balls,57.14285714285714
tiramisu,2705702,Tiramisu,Survey (FNDDS),353.0,5.65,23.86,29.44,tiramisu,tiramisu,100.0
tuna tartare,2706394,Steak tartare,Survey (FNDDS),216.0,17.45,15.6,0.34,tuna_tartare,tuna tartare,56.00000000000001
waffles,2093968,WAFFLES,Branded,300.0,2.86,10.0,48.6,waffles,waffles,100.0
